condition,rep,target,Ct_target,ref,Ct_ref
control,1,2,19.7415,2,23.1102
control,2,2,19.494,2,22.9003
control,3,2,19.3906,2,22.8972
control,4,2,21.9838,2,26.5801
control,5,2,22.4435,2,26.2139
control,6,2,22.57,2,26.0606
control,7,2,24.8109,2,28.1125
control,8,2,24.4327,2,28.1899
control,9,2,24.2342,2,27.5949
control,10,2,26.7319,2,30.2772
control,11,2,26.8206,2,30.4667
control,12,2,26.822,2,30.7571
treatment,1,2,18.4468,2,21.7813
treatment,2,2,18.8227,2,21.7564
treatment,3,2,18.3061,2,21.641
treatment,4,2,21.2568,2,23.7965
treatment,5,2,21.0956,2,23.7571
treatment,6,2,20.8473,2,23.724
treatment,7,2,23.2322,2,26.3794
treatment,8,2,22.9577,2,26.2542
treatment,9,2,23.2415,2,25.9621
treatment,10,2,25.4817,2,28.5479
treatment,11,2,25.608,2,28.3894
treatment,12,2,25.5675,2,28.3416
